iter	Logloss
0	0.6882222469
1	0.6834635572
2	0.6790250966
3	0.6746338727
4	0.6703492621
5	0.6663763204
6	0.6623421345
7	0.6586295783
8	0.6548641046
9	0.651353569
10	0.6479019042
11	0.6445175926
12	0.641392577
13	0.6384560025
14	0.6355138249
15	0.6327272872
16	0.6300271296
17	0.6275423387
18	0.6251949001
19	0.6228051662
20	0.6204568327
21	0.6184006351
22	0.6163218698
23	0.6141438841
24	0.6120828228
25	0.6101314877
26	0.6082969603
27	0.6065219651
28	0.6048451399
29	0.6031993647
30	0.6014866256
31	0.599940888
32	0.5983357738
33	0.5968832645
34	0.5954359691
35	0.5941096838
36	0.5928175225
37	0.5915284351
38	0.590237052
39	0.5891239544
40	0.5879484063
41	0.5868493941
42	0.5857538449
43	0.5847180225
44	0.5836506831
45	0.582660969
46	0.5817714092
47	0.5807724346
48	0.5799283994
49	0.579082341
50	0.5782675661
51	0.5773726368
52	0.5765331152
53	0.5757125039
54	0.5749080791
55	0.5741723304
56	0.5735337399
57	0.57287978
58	0.5721970656
59	0.5716103811
60	0.5710084827
61	0.5703750283
62	0.5698437126
63	0.5693006072
64	0.5687727156
65	0.568253929
66	0.5676780614
67	0.567181609
68	0.5667557394
69	0.5662995589
70	0.5658769965
71	0.56545066
72	0.5650554125
73	0.5647015652
74	0.5642755788
75	0.5639120818
76	0.5636040316
77	0.5632486668
78	0.5629172316
79	0.5625798433
80	0.562236774
81	0.5619152609
82	0.5615728532
83	0.5612921955
84	0.5610021217
85	0.560745238
86	0.5604160986
87	0.5601390596
88	0.5598340443
89	0.5595829193
90	0.5593386036
91	0.559050164
92	0.5588030078
93	0.5585789253
94	0.5583413799
95	0.558090683
96	0.5578757443
97	0.5576620118
98	0.5574414701
99	0.5572026796
100	0.5570004644
101	0.5568323733
102	0.5566413254
103	0.5564564252
104	0.556293587
105	0.5560956519
106	0.5559158878
107	0.5557461236
108	0.5555583052
109	0.555400214
110	0.5552098275
111	0.5550559774
112	0.5549288586
113	0.5547907671
114	0.5546617027
115	0.5545335721
116	0.5544081653
117	0.5542826806
118	0.554130815
119	0.5540204663
120	0.5539042812
121	0.5537959558
122	0.5536495765
123	0.5535587995
124	0.5534397739
125	0.5533412928
126	0.5532453019
127	0.5531126188
128	0.5530002858
