iter	Passed	Remaining
439	31625	40250
440	31689	40168
441	31767	40104
442	31839	40033
443	31918	39970
444	31999	39908
445	32076	39844
446	32165	39793
447	32241	39726
448	32309	39649
449	32378	39573
450	32454	39506
451	32521	39428
452	32594	39358
453	32666	39285
454	32725	39199
455	32785	39112
456	32851	39033
457	32922	38960
458	32989	38882
459	33049	38797
460	33109	38711
461	33181	38639
462	33260	38576
463	33316	38486
464	33385	38411
465	33445	38325
466	33486	38219
467	33527	38112
468	33568	38006
469	33620	37912
470	33667	37813
471	33712	37712
472	33759	37613
473	33800	37508
474	33841	37403
475	33883	37300
476	33925	37197
477	33965	37092
478	34007	36989
479	34049	36886
480	34086	36779
481	34124	36672
482	34164	36569
483	34202	36463
484	34240	36357
485	34280	36255
486	34320	36152
487	34368	36058
488	34415	35963
489	34455	35861
490	34493	35757
491	34537	35660
492	34576	35558
493	34626	35467
494	34672	35373
495	34711	35271
496	34755	35174
497	34798	35077
498	34838	34978
499	34882	34882
500	34921	34781
501	34961	34682
502	35002	34585
503	35045	34488
504	35085	34391
505	35126	34293
506	35146	34175
507	35185	34076
508	35224	33978
509	35264	33881
510	35303	33783
511	35347	33690
512	35385	33592
513	35425	33495
514	35466	33400
515	35509	33307
516	35551	33213
517	35590	33117
518	35633	33024
519	35676	32932
520	35719	32840
521	35759	32745
522	35798	32650
523	35840	32557
524	35878	32461
525	35917	32366
526	35956	32271
527	35994	32176
528	36035	32084
529	36078	31993
530	36119	31902
531	36161	31811
532	36206	31722
533	36245	31629
534	36287	31539
535	36327	31447
536	36365	31354
537	36406	31263
538	36447	31173
539	36492	31086
540	36514	30979
541	36553	30888
542	36594	30798
543	36633	30707
544	36676	30620
545	36720	30532
546	36759	30442
547	36798	30351
548	36844	30267
549	36883	30177
550	36924	30089
551	36968	30003
552	37005	29912
553	37049	29827
554	37095	29743
555	37134	29653
556	37177	29568
557	37219	29481
558	37289	29418
559	37344	29342
560	37411	29275
561	37489	29217
562	37566	29158
563	37646	29102
564	37729	29048
565	37796	28982
566	37865	28916
567	37928	28846
568	38007	28789
569	38087	28732
570	38163	28672
571	38243	28615
572	38320	28556
573	38403	28501
574	38482	28443
575	38554	28380
576	38657	28340
577	38701	28256
578	38749	28175
579	38797	28094
580	38841	28011
581	38910	27945
582	38973	27876
583	39041	27810
584	39095	27734
585	39145	27655
586	39195	27576
587	39241	27495
588	39312	27431
589	39359	27351
590	39433	27289
591	39485	27213
592	39529	27130
593	39555	27036
594	39596	26952
595	39658	26882
596	39724	26815
597	39796	26753
598	39840	26671
599	39888	26592
600	39932	26511
601	39982	26433
602	40050	26368
603	40110	26297
604	40175	26230
605	40237	26161
606	40286	26083
607	40336	26006
608	40397	25936
609	40467	25872
610	40530	25803
611	40597	25738
612	40644	25659
613	40683	25576
614	40724	25494
615	40769	25414
616	40815	25336
617	40858	25255
618	40910	25180
619	40980	25117
620	41061	25060
621	41131	24996
622	41197	24930
623	41276	24871
624	41339	24803
625	41412	24741
626	41483	24678
627	41561	24619
628	41636	24558
629	41720	24502
630	41801	24445
631	41877	24384
632	41954	24324
633	42037	24267
634	42107	24203
635	42183	24142
636	42259	24082
637	42330	24018
638	42407	23957
639	42468	23888
640	42535	23822
641	42590	23749
642	42660	23685
643	42736	23624
644	42806	23560
645	42878	23497
646	42975	23447
647	43036	23377
648	43113	23316
649	43188	23255
650	43287	23206
651	43355	23140
652	43414	23070
653	43476	23001
654	43541	22934
655	43622	22875
656	43688	22808
657	43754	22741
658	43822	22676
659	43901	22616
660	43947	22539
661	43991	22460
662	44032	22381
663	44075	22303
664	44116	22224
665	44160	22146
666	44206	22069
667	44249	21992
668	44290	21913
669	44331	21834
670	44372	21756
671	44414	21678
672	44458	21601
673	44499	21523
674	44544	21447
675	44587	21370
676	44631	21293
677	44674	21216
678	44717	21140
679	44754	21061
680	44794	20983
681	44834	20905
682	44874	20827
683	44912	20749
684	44952	20671
685	44989	20592
686	45030	20515
687	45071	20439
688	45095	20354
689	45118	20270
690	45156	20192
691	45181	20109
692	45218	20032
693	45258	19955
694	45284	19873
695	45324	19796
696	45363	19720
697	45405	19645
698	45445	19569
699	45486	19494
700	45529	19419
701	45569	19344
702	45608	19268
703	45649	19193
704	45688	19117
705	45728	19042
706	45768	18967
707	45807	18892
708	45843	18815
709	45884	18741
710	45920	18665
711	45958	18590
712	45991	18512
713	46032	18438
714	46071	18364
715	46112	18290
716	46152	18216
717	46191	18142
718	46229	18067
719	46261	17990
720	46302	17917
721	46341	17843
722	46381	17769
723	46414	17693
724	46453	17620
725	46473	17539
726	46511	17465
727	46547	17391
728	46585	17317
729	46630	17246
730	46663	17171
731	46683	17091
732	46720	17018
733	46745	16940
734	46768	16862
735	46807	16789
736	46845	16716
737	46884	16644
738	46938	16577
739	46977	16505
740	47017	16433
741	47059	16363
742	47099	16291
743	47141	16220
744	47181	16149
745	47222	16078
746	47262	16007
747	47302	15936
748	47343	15865
749	47380	15793
750	47419	15722
751	47459	15651
752	47497	15580
753	47536	15509
754	47576	15438
755	47613	15367
756	47652	15296
757	47692	15226
758	47730	15155
759	47771	15085
760	47808	15014
761	47846	14944
762	47884	14873
763	47921	14803
764	47959	14732
765	48000	14663
766	48039	14593
767	48077	14523
768	48114	14452
769	48152	14383
770	48193	14314
771	48228	14243
772	48259	14171
773	48314	14107
774	48352	14037
775	48391	13968
776	48428	13898
777	48469	13830
778	48511	13762
779	48549	13693
780	48576	13621
781	48617	13553
782	48658	13485
783	48695	13416
784	48722	13344
785	48760	13275
786	48802	13208
787	48840	13139
788	48879	13071
789	48917	13003
790	48950	12933
791	48979	12863
792	49019	12795
793	49055	12727
794	49089	12658
795	49131	12591
796	49171	12524
797	49209	12456
798	49249	12389
799	49288	12322
800	49333	12256
801	49374	12189
802	49414	12122
803	49453	12055
804	49493	11989
805	49533	11922
806	49570	11855
807	49608	11788
808	49646	11721
809	49677	11652
810	49714	11585
811	49752	11518
812	49788	11452
813	49829	11386
814	49868	11319
815	49905	11253
816	49943	11186
817	49981	11120
818	50020	11054
819	50048	10986
820	50088	10920
821	50126	10854
822	50154	10786
823	50191	10720
824	50227	10654
825	50265	10588
826	50307	10523
827	50340	10457
828	50377	10391
829	50406	10324
830	50448	10259
831	50490	10195
832	50528	10129
833	50567	10065
834	50605	9999
835	50645	9935
836	50687	9870
837	50726	9806
838	50768	9742
839	50806	9677
840	50846	9613
841	50884	9548
842	50921	9483
843	50959	9419
844	50996	9354
845	51035	9290
846	51075	9226
847	51117	9162
848	51159	9098
849	51201	9035
850	51239	8971
851	51276	8907
852	51314	8843
853	51357	8780
854	51395	8716
855	51433	8652
856	51473	8588
857	51513	8525
858	51552	8462
859	51593	8399
860	51636	8336
861	51672	8272
862	51711	8209
863	51740	8144
864	51777	8080
865	51818	8018
866	51859	7955
867	51898	7892
868	51937	7829
869	51977	7766
870	52016	7704
871	52054	7641
872	52093	7578
873	52133	7515
874	52171	7453
875	52213	7391
876	52253	7328
877	52290	7265
878	52327	7203
879	52370	7141
880	52408	7079
881	52447	7016
882	52483	6954
883	52522	6892
884	52558	6829
885	52596	6767
886	52637	6705
887	52677	6644
888	52718	6582
889	52760	6520
890	52803	6459
891	52843	6398
892	52880	6336
893	52917	6274
894	52956	6212
895	52996	6151
896	53035	6089
897	53073	6028
898	53113	5967
899	53153	5905
900	53194	5844
901	53232	5783
902	53271	5722
903	53312	5661
904	53357	5601
905	53393	5539
906	53428	5478
907	53454	5416
908	53491	5354
909	53532	5294
910	53569	5233
911	53611	5173
912	53652	5112
913	53690	5051
914	53730	4991
915	53772	4931
916	53809	4870
917	53846	4809
918	53885	4749
919	53943	4690
920	53981	4630
921	54018	4569
922	54055	4509
923	54092	4449
924	54131	4389
925	54170	4328
926	54213	4269
927	54252	4209
928	54295	4149
929	54335	4089
930	54369	4029
931	54409	3969
932	54446	3909
933	54485	3850
934	54522	3790
935	54560	3730
936	54598	3671
937	54638	3611
938	54678	3552
939	54713	3492
940	54752	3432
941	54791	3373
942	54831	3314
943	54874	3255
944	54911	3195
945	54953	3136
946	54989	3077
947	55028	3018
948	55068	2959
949	55106	2900
950	55140	2841
951	55178	2782
952	55216	2723
953	55256	2664
954	55290	2605
955	55329	2546
956	55371	2487
957	55409	2429
958	55447	2370
959	55489	2312
960	55528	2253
961	55570	2195
962	55613	2136
963	55652	2078
964	55691	2019
965	55729	1961
966	55767	1903
967	55807	1844
968	55848	1786
969	55888	1728
970	55936	1670
971	55974	1612
972	56014	1554
973	56053	1496
974	56093	1438
975	56131	1380
976	56169	1322
977	56209	1264
978	56235	1206
979	56272	1148
980	56311	1090
981	56349	1032
982	56405	975
983	56431	917
984	56454	859
985	56493	802
986	56521	744
987	56558	686
988	56592	629
989	56631	572
990	56667	514
991	56705	457
992	56745	400
993	56782	342
994	56824	285
995	56859	228
996	56900	171
997	56925	114
998	56960	57
999	56998	0
